term,definition
Asset Inventory,A maintained list of systems applications data stores and owners that require protection.
Attack Surface,The total set of reachable interfaces assets and trust boundaries exposed to attackers.
Threat Model,A structured analysis of how a system can be attacked and what controls reduce the risk.
Risk Assessment,A process for estimating likelihood impact and priority of security threats.
Vulnerability,A weakness that can be exploited to violate confidentiality integrity or availability.
Exploit,A technique or code path used to trigger a vulnerability and gain unintended behavior.
Zero-Day,A vulnerability that is exploited before a vendor patch or formal fix is available.
Patch Management,A process for testing approving and deploying security updates in a controlled way.
Hardening,The reduction of unnecessary services settings and permissions to improve security posture.
Secure Baseline,A standard configuration that defines the minimum approved security settings for a system.
Least Privilege,A principle that grants only the minimum access required to perform a task.
Defense in Depth,A strategy that layers preventive detective and corrective controls across multiple points.
Multi-Factor Authentication,An authentication method that requires two or more independent proof factors.
Single Sign-On,A mechanism that lets a user authenticate once and access multiple connected systems.
Identity Provider,A service that authenticates users and issues identity assertions or tokens.
Role-Based Access Control,An authorization model that grants permissions based on assigned job roles.
Attribute-Based Access Control,An authorization model that evaluates attributes such as user resource and context.
Privileged Access Management,A set of controls for governing elevated accounts and sensitive administrative actions.
Secrets Management,A process for storing distributing rotating and revoking credentials securely.
Key Rotation,A scheduled replacement of encryption or signing keys to reduce long term exposure.
Encryption at Rest,Protection of stored data through cryptographic controls while it resides on disk or media.
Encryption in Transit,Protection of data while it moves across networks using secure protocols.
TLS,A protocol that secures network connections through encryption authentication and integrity checks.
Certificate Pinning,A control that restricts trust to expected certificates or public keys for a service.
Public Key Infrastructure,A framework for issuing validating and revoking digital certificates and keys.
Security Information and Event Management,A platform that collects normalizes and correlates security logs for monitoring.
Security Orchestration Automation and Response,A platform that automates security workflows and investigation playbooks.
Endpoint Detection and Response,A capability focused on detecting investigating and responding to threats on endpoints.
Extended Detection and Response,A detection and response approach that correlates signals across multiple security layers.
Intrusion Detection System,A tool that monitors traffic or hosts for suspicious or malicious activity.
Intrusion Prevention System,A control that can detect and automatically block malicious network behavior.
Web Application Firewall,A filter that inspects HTTP traffic and blocks common web attacks.
Distributed Denial of Service,An attack that overwhelms a service with traffic from many sources.
Bot Mitigation,A set of techniques used to detect limit and block unwanted automated traffic.
API Security,The practice of protecting interfaces data flows and service trust boundaries in APIs.
Authentication,The process of verifying that a user service or device is who it claims to be.
Authorization,The process of determining what an authenticated identity is allowed to do.
Session Management,The handling of session identifiers lifecycle timeouts and invalidation for active users.
CSRF,An attack that tricks a browser into sending unintended authenticated requests.
XSS,An attack that injects untrusted script into a page viewed by other users.
SQL Injection,An attack that manipulates database queries by injecting crafted input into SQL commands.
Server-Side Request Forgery,An attack that causes a server to make attacker controlled requests to internal or external targets.
Insecure Direct Object Reference,A flaw where direct access to internal identifiers bypasses authorization checks.
Security Misconfiguration,Weak or unsafe settings that expose systems to avoidable security risk.
Dependency Vulnerability,A known weakness in a third party library package or component used by an application.
Software Composition Analysis,A technique for identifying open source components versions and known vulnerabilities.
Static Application Security Testing,A method that analyzes source code or binaries without executing the application.
Dynamic Application Security Testing,A method that tests a running application from the outside to find exploitable flaws.
Interactive Application Security Testing,A testing approach that observes an application during execution to find vulnerabilities.
Runtime Application Self-Protection,A runtime control that detects and blocks attacks from within the application process.
Container Image Scanning,A process that inspects container images for vulnerable packages secrets and misconfigurations.
Kubernetes Admission Control,A policy enforcement point that validates or mutates cluster objects before creation.
Infrastructure as Code,The practice of defining infrastructure through version controlled declarative files.
Infrastructure as Code Scanning,A security review of infrastructure definitions to find risky settings before deployment.
Policy as Code,The encoding of security and compliance rules in machine enforceable policy definitions.
Shift Left Security,The practice of moving security checks earlier into design development and build workflows.
Shift Right Security,The practice of validating security through runtime monitoring testing and feedback in production.
Secure SDLC,A software delivery process with explicit security activities across each lifecycle stage.
Threat Intelligence,Contextual information about adversaries tactics indicators and emerging risks.
Incident Response,A coordinated process for detecting containing eradicating and recovering from security events.
Mean Time to Detect,A metric that measures how long it takes to identify a security issue after it begins.
Mean Time to Respond,A metric that measures how long it takes to contain or remediate a detected issue.
Playbook,A defined response flow for a repeatable security scenario or operational case.
Runbook,A step by step operational guide for executing a known task consistently.
Post-Incident Review,A structured review that captures timeline causes lessons learned and follow up actions.
Vulnerability Management,A lifecycle process for discovering prioritizing fixing and verifying security weaknesses.
CVE,A public identifier for a disclosed security vulnerability.
CVSS,A scoring system used to estimate the severity of a vulnerability.
SBOM,An inventory of software components dependencies and versions in a product or build artifact.
Provenance,Metadata that records where an artifact came from and how it was produced.
Artifact Signing,A method of proving artifact origin and integrity through digital signatures.
Supply Chain Attack,An attack that compromises software through dependencies build systems or distribution channels.
